bw	num	pct	qlen	maxq	avgq	maxd	avgd	rate
24	8	0.90	7	43.0	0.1	13	0	2383.0 (0.78)
24	10	0.90	7	39.5	0.1	12	0	2402.0 (0.78)
24	12	0.90	7	46.5	0.2	15	0	2433.0 (0.79)
24	14	0.90	7	59.5	0.2	19	0	2470.4 (0.80)
24	16	0.90	7	68.0	0.3	22	0	2480.6 (0.81)
24	20	0.90	7	55.5	0.5	18	0	2514.5 (0.82)
24	24	0.90	7	66.5	0.8	21	0	2547.0 (0.83)
24	30	0.90	7	94.5	1.4	30	0	2604.2 (0.85)
24	40	0.90	7	104.5	2.8	34	0	2671.0 (0.87)
30	1	0.92	8	40.5	0.0	10	0	2662.7 (0.69)
30	2	0.92	8	46.5	0.0	12	0	2690.3 (0.70)
30	3	0.92	8	46.5	0.0	12	0	2859.2 (0.74)
30	4	0.92	8	54.5	0.1	14	0	2908.5 (0.76)
30	5	0.92	8	66.0	0.1	17	0	2924.6 (0.76)
30	6	0.92	8	46.5	0.1	12	0	2932.4 (0.76)
30	8	0.92	8	56.5	0.1	14	0	2967.8 (0.77)
30	10	0.92	8	76.5	0.2	19	0	3017.8 (0.79)
30	12	0.92	8	47.0	0.2	12	0	3048.9 (0.79)
30	14	0.92	8	61.0	0.2	15	0	3105.6 (0.81)
30	16	0.92	8	70.0	0.4	18	0	3141.5 (0.82)
30	20	0.92	8	96.5	0.6	25	0	3180.7 (0.83)
30	24	0.92	8	76.5	0.9	19	0	3236.3 (0.84)
30	30	0.92	8	104.0	1.6	27	0	3305.0 (0.86)
30	40	0.92	8	141.5	3.6	36	0	3401.0 (0.89)
40	1	0.93	10	76.5	0.0	14	0	3595.5 (0.70)
40	2	0.93	10	76.5	0.0	14	0	3710.5 (0.72)
40	3	0.93	10	90.5	0.0	17	0	3813.0 (0.74)
40	4	0.93	10	76.5	0.1	14	0	3870.5 (0.76)
40	5	0.93	10	83.5	0.1	16	0	3916.9 (0.77)
40	6	0.93	10	97.0	0.1	18	0	3936.3 (0.77)
40	8	0.93	10	76.5	0.1	14	0	3944.2 (0.77)
40	10	0.93	10	94.5	0.1	18	0	3997.2 (0.78)
40	12	0.93	10	119.5	0.1	23	0	4056.1 (0.79)
40	14	0.93	10	77.0	0.2	15	0	4082.0 (0.80)
40	16	0.93	10	93.0	0.2	18	0	4149.6 (0.81)
40	20	0.93	10	117.0	0.5	22	0	4207.4 (0.82)
40	24	0.93	10	142.0	0.6	27	0	4272.3 (0.83)
40	30	0.93	10	84.0	1.2	16	0	4375.8 (0.85)
40	40	0.93	10	100.5	2.6	19	0	4499.0 (0.88)
50	1	0.94	12	86.5	0.0	13	0	4547.7 (0.71)
50	2	0.94	12	133.0	0.0	20	0	4712.8 (0.74)
50	3	0.94	12	133.0	0.0	20	0	4799.3 (0.75)
50	4	0.94	12	149.5	0.0	23	0	4846.5 (0.76)
50	5	0.94	12	109.0	0.0	17	0	4910.5 (0.77)
50	6	0.94	12	134.5	0.1	21	0	4968.5 (0.78)
50	8	0.94	12	156.5	0.1	24	0	4994.3 (0.78)
50	10	0.94	12	109.5	0.1	17	0	4961.7 (0.78)
50	12	0.94	12	135.0	0.1	21	0	4965.4 (0.78)
50	14	0.94	12	156.0	0.1	24	0	5038.0 (0.79)
50	16	0.94	12	180.0	0.2	28	0	5074.7 (0.79)
50	20	0.94	12	147.0	0.3	22	0	5207.0 (0.81)
50	24	0.94	12	161.5	0.6	25	0	5305.1 (0.83)
50	30	0.94	12	167.0	1.5	26	0	5466.2 (0.85)
50	40	0.94	12	180.5	2.9	28	0	5620.9 (0.88)
60	1	0.95	14	213.0	0.0	27	0	5413.1 (0.70)
60	2	0.95	14	213.0	0.1	27	0	5637.3 (0.73)
60	3	0.95	14	149.0	0.0	19	0	5815.2 (0.76)
60	4	0.95	14	213.0	0.1	27	0	5850.1 (0.76)
60	5	0.95	14	217.0	0.1	28	0	5959.7 (0.78)
60	6	0.95	14	149.0	0.1	19	0	5997.8 (0.78)
60	8	0.95	14	213.0	0.1	27	0	6013.4 (0.78)
60	10	0.95	14	223.0	0.1	29	0	5963.6 (0.78)
60	12	0.95	14	149.0	0.1	19	0	5909.2 (0.77)
60	14	0.95	14	181.0	0.2	23	0	5896.1 (0.77)
60	16	0.95	14	213.0	0.2	27	0	5978.4 (0.78)
60	20	0.95	14	230.0	0.4	29	0	6161.8 (0.80)
60	24	0.95	14	233.5	0.8	30	0	6332.0 (0.82)
